,content,style,EfficientNet-E7,VGG19
content,0.0,0.744191,0.33958828,0.58896685
style,0.744191,0.0,0.65439975,0.6432888
EfficientNet-E7,0.33958828,0.65439975,0.0,0.49010074
VGG19,0.58896685,0.6432888,0.49010074,0.0
